Unnamed: 0,id,uuid,name_zh,name_en,unit,sampling_start,sampling_end,valid_time,location,class_code,description,source_description,source_original_id,source_url,classification_system,source,source_type,completeness_type,first_class,second_class,third_class,data_entry_by,location_id,synonyms,data_version,create_time,class_id
10,1818425837586878464,9f7c830d-84c3-4654-89c7-9f4d223089fe,经典 40、黄玉 70、红宝石 70、流星 70、Acczent Excellence 80、Acczent Essential 70、Aqua Multisafe,"Classic 40, Topaz 70, Ruby 70, Meteor 70, Acczent Excellence 80, Acczent Essential 70, Aqua Multisafe",m²,,,2029-07-09,Europe,,"Description: The product is a heterogeneous compact resilient floor covering developed by Tarkett, known under various names such as Classic 40, Ruby 70, Topaz 70, Meteor 70, Acczent Excellence 80, Acczent Essential 70, and Aqua Multisafe. Specifically, the declared product is Topaz 70, with results based on a worst-case scenario. It is made from poly (vinyl chloride) and designed for a recommended service lifetime of 25 years.",The International EPD® System,,https://www.environdec.com/library/epd1348,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:17:59.056667,
11,1818425979434045440,76fc0cfd-1ac7-456e-8c51-457a39da93fc,"Aquarelle 墙面北欧风格, Aquarelle 墙面边框, Aquarelle 地板","Aquarelle Wall Nordics, Aquarelle Wall Border, Aquarelle Floor",m²,2024-07-09,2024-07-09,2029-07-09,Europe,,"Description: Tarkett, with over 130 years of experience, provides integrated solutions for floorings to professionals and end users. Its offerings include a wide range of designs, colors, and models, contributing to creating a positive environment and enhancing quality of life. Tarkett is committed to environmental sustainability, employing Cradle-to-Cradle principles in the design and production of its solutions. It actively participates in the Circular Economy 100 program, focusing on the reuse of materials and preservation of natural resources. The company's World Class Manufacturing (WCM) system emphasizes eliminating losses and improving process efficiency.

**Product Information:**
- **Aquarelle Wall Nordics:** Vinyl wall covering suitable for wet areas like collective showers, locker rooms, collective housing, and healthcare facilities.
- **Aquarelle Wall Border:** Vinyl wall covering complementing the Aquarelle Wall Nordics.
- **Aquarelle Floor:** Heterogeneous PVC floor covering, ideal for waterproof installations in domestic wet areas. Recommended service life is 20 years.",The International EPD® System,,https://www.environdec.com/library/epd15524,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:18:32.875170,
12,1818426226361110528,fed25541-7bfd-45a2-838d-216d94fc108a,Soprastick venti ff,SOPRASTICK VENTI FF,kg,2024-07-11,2024-07-11,2029-07-11,Worldwide,,"Description: Self-adhesive membrane with a vapour-pressure and tension dispersion system, composed of elastomer modified bitumen and a composite polyester reinforcement. Used as a base layer within a multi-layer waterproofing system on surfaces where partial adhesion is required. The upper surface is protected by a thermofusible film. The lower surface is provided with self-adhesive bitumen stripes alternated with non-stick stripes protected by a silicone release film. The overlap is partly self-adhesive (to prevent flame transmission) and partly torchable with flame or hot air. Energy consumption and used ancillary materials during installation are considered and are based on the average installation scenario of the product. The installation phase includes 10% overlapping material. The membrane has a reference service life of 70 YEARS, if combined with Soprema top layer.",The International EPD® System,,https://www.environdec.com/library/epd13740,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:19:31.747577,
13,1818426521367482368,691bf600-f010-466e-aa43-5dc328954ff2,ProtectWall 15、ProtectWall CR（无尘室）、Aquarelle Wall HFS,"ProtectWall 15, ProtectWall CR (Clean Rooms), Aquarelle Wall HFS",m²,2024-07-09,2024-07-09,2024-07-09,Europe,,"Description: Tarkett offers integrated solutions for floorings, able to meet the particular needs of customers. Their wide range of designs, colors, and models provides an infinite series of possibilities, contributing to creating a positive environment and a better quality of life for people. Tarkett operates with the utmost respect for the environment towards the realization of eco-friendly products. 

The company's commitment to the environment is woven throughout its business. Cradle-to-Cradle principles are, in fact, the basis of the design and production of every solution. Particularly, the lifecycle analysis is used to continuously improve the production process, and thus the products until their use stage, disposal, and recycling. 

The development of products that can be reused within internal production cycles, or external ones in case of other individuals, has been an integral part of the business strategy aimed at sustainability for many years. The WCM (World Class Manufacturing) management system has been developed in 2009, and it includes the environmental pillar aimed at the elimination of losses and growth of process efficiency.

**Product Information:**
- **Aquarelle Wall HFS:** A vinyl wall covering for use in wet areas such as collective showers, locker rooms, collective housing, and healthcare facilities.
- **ProtectWall 1.5 & ProtectWall CR (Clean Rooms):** High-performance vinyl wall coverings that protect walls against impacts, scratches, and stains.",The International EPD® System,,https://www.environdec.com/library/epd15522,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:20:42.082277,
14,1818426594319011840,c591cb19-eb6c-45e5-bff2-03902302552b,至尊高级乳液（35110），至尊高级乳液是一种采用 100 纯丙烯酸聚合物配制而成的优质产品，含有二氧化钛和其他高级耐光烷氧基苯乙烯颜料。,"Supreme Advanced Emulsion (35110), Supreme Advanced Emulsion is a premium product formulated using 100 Pure Acrylic polymer and containing titanium dioxide and other highgrade lightfast alkaliresisting pigments",m²,,,,Middle East,,"Description: Supreme Advanced Emulsion is a premium product formulated using 100% Pure Acrylic polymer and containing titanium dioxide and other high-grade light-fast alkali-resisting pigments. It is odourless and environmentally friendly. This emulsion has outstanding performance in the removal of common stains and shows excellent resistance to microbial growth, preventing the colonial growth of bacteria and keeping the coated surface hygienic.",The International EPD® System,,https://www.environdec.com/library/epd4631,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:20:59.475919,
15,1818427513223909376,21dccd72-5f4d-400f-bde3-7ec0b9aa7be2,C35/45，XC3，S4，砾石（35C34G1000322），C35/45，XC3，S4，砾石（35C34G1000323）,"C35/45, XC3, S4, Gravel (35C34G1000322), C35/45, XC3, S4, Gravel (35C34G1000323)",m,2024-07-25,2024-07-25,2029-07-24,Greece,,"Description: Concrete is a material formed by mixing cement, coarse and fine aggregate and water, with or without the incorporation of admixtures and additions. Fresh concrete is manufactured at ready-mix batch plants and is delivered to the construction sites in a liquid state. Fresh concrete is placed, compacted and hardened in the desired shape, via a chemical reaction: the hydration of cement. The cement is the binding agent in concrete: it is a finely ground powder that when hydrated forms a paste that sets, hardens, and adheres to other materials and after hardening retains its strength even underwater. It is used as the main raw material in the production of concrete, mortar, grouts, and plasters. This concrete mix is compliant with the requirements of ELOT EN 206 and the Concrete Technology Regulation KTS 2016, and is produced by Interbeton Building Materials S.A. These specific types of concrete have a wide range of applications and are mainly utilized in civil engineering works and in residential and commercial construction. The product is delivered in bulk with ready-mix trucks.",The International EPD® System,,https://www.environdec.com/library/epd15529,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:24:38.559222,
16,1818427728370733056,cb9f90ab-3060-4879-a0d3-1b39e7d505ca,"Getacore 超薄台面（G86）（16 毫米）, Getacore 超薄台面（G33）（25 毫米）","Getacore Worktops(G86)  Thin Version(16mm), Getacore Worktops(G33)  Thin Version(25mm)",m²,2022-07-19,2022-07-19,2027-07-18,,,"Description: The thin Getacore® worktop is a composite element consisting of acrylic bonded Getacore® Smart sheet, chipboard substrate, Getalit® HPL (high-pressure laminate), and agglutinates compounds. It is available in two different thicknesses (16mm and 25mm) and features a 10mm front edge of Getacore® material. The product is faced with Getacore® Smart sheet (3mm) and the reverse side is balanced with Getalit® HPL (0.7mm). The worktop is glued with quality D3 adhesive according to EN 204/205. Notable for its elegance and style, it also offers practical benefits such as easy removal of scratches and signs of use through sanding, allowing for renovation back to its original condition. Getacore® is safe for contact with food, durable, easy to clean and repair, non-porous, and allows for seamless joints. Additionally, it is easy to process and offers superior color consistency due to its Made-in-Germany production process.",The International EPD® System,,https://www.environdec.com/library/epd6400,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:25:29.854357,
17,1818427842103480320,a2ad17dd-9bf4-473d-9a82-485638c2e99a,"C30/37、XC4、S4 (EPD 30C44C1000322), C30/37、XC4、S4 (EPD 30C44C1000323)","C30/37, XC4, S4 (EPD 30C44C1000322), C30/37, XC4, S4 (EPD 30C44C1000323)",m,2024-07-25,2024-07-25,2029-07-24,Greece,,"Description: Concrete is a material formed by mixing cement, coarse and fine aggregate and water, with or without the incorporation of admixtures and additions. Fresh concrete is manufactured at ready-mix batch plants and is delivered to the construction sites in a liquid state. Fresh concrete is placed, compacted and hardened in the desired shape, via a chemical reaction: the hydration of cement. The cement is the binding agent in concrete: it is a finely ground powder that when hydrated forms a paste that sets, hardens, and adheres to other materials and after hardening retains its strength even underwater. It is used as the main raw material in the production of concrete, mortar, grouts, and plasters. This is an average EPD for the declared products which comply with the requirements of ELOT EN 206 and the Concrete Technology Regulation KTS 2016. These specific concrete mix designs are produced nationwide by Interbeton Building Materials S.A. These specific types of concrete have a wide range of applications and are mainly utilized in civil engineering works and in residential and commercial construction. The product is delivered in bulk with ready-mix trucks.",The International EPD® System,,https://www.environdec.com/library/epd15528,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:25:56.970119,
18,1818428018494935040,8a6f13ea-f4cd-4805-b1b3-564e6fee43bb,铝型材,Aluminium Profile,kg,2021-01-08,2021-01-08,2026-01-08,,,"Description: Aluminium profiles are used in a variety of building and construction applications, such as architectural elements for windows, doors, partition walls, facades, and shutters; interior furnishing, lighting, stairs, grilles, meshes; cooling and heating surfaces, electronic modules, and electro motor housing; flexible mounting systems and special machinery parts; floors of trucks and trailers, pneumatic equipment, railways, and internal applications; heavy structures in wagons, frames of heavy load trucks, shipbuilding, and bridges. 

A typical material composition includes Aluminium profile at more than 90% by weight, Aluminium ingot at 93.00 - 99.00%, Magnesium at 0.35 - 0.90%, Silicon at 0.30 - 0.60%, and other elements at less than 1%. Polyamide makes up less than 10% of the composition. 

The technical specifications include a density range of 2.50 - 2.70 g/cm³, melting range of 585 - 650 °C, thermal conductivity of 200 - 220 W/mK (ASTM E1225-13), thermal expansion coefficient of 23.20 - 23.40 x 10^-6/K (ASTM E831-14), elastic modulus of 69000 - 70000 MPa (EN ISO 6892-1), and modulus of rupture of 26000 - 26500 MPa (EN ISO 6892-1). No substances included in the Candidate List of Substances of Very High Concern for authorization under the REACH Regulations are present in the company’s products, either above the threshold for registration with the European Chemicals Agency or above 0.1% (wt/wt).",The International EPD® System,,https://www.environdec.com/library/epd2399,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:26:39.025489,
19,1818428210208182272,c92d2107-ea43-410c-b475-c841ed7dc045,INDURITORE PER THIOVER（未提及具体产品编号）,INDURITORE PER THIOVER (No specific product number mentioned),kg,2024-07-25,2024-07-25,2029-07-25,,,"Description: INDURITORE PER THIOVER products are curing agents for polysulfides specifically formulated for sealing insulating glass units. They are totally solvent-free and suitable for producing both double and triple-glazed IG units. Different types of Thiover hardeners are available to meet the individual requirements of operators and equipment in use. For detailed and complete product specifications, please refer to the technical data sheet.",The International EPD® System,,https://www.environdec.com/library/epd13060,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:27:24.733107,
20,1818428491549511680,5fc3d1a4-b39f-405c-806a-291512017533,暖炉 A(A),HOTVER A(A),kg,2024-07-25,2024-07-25,2029-07-25,,,"Description: HOTVER products are thermoplastic hot applied sealants specifically formulated for sealing insulating glass units; their rapid setting time allows a quick delivery of double-glazed units. HOTVER sealants are totally solvent-free and can be used to produce both single- and double-sealed panels. They are suitable with both manual and robotic application technologies and have excellent physical-chemical properties, being easy to process and ensuring optimal resistance to low and high temperatures. They adhere perfectly to glass and traditional or warm edge spacer. HOTVER sealants are ideal for producing high energy efficiency windows, offering superior performance and a higher rate of prevention of gas leakage in insulating glass units. Using the HOTVER range of products in an insulating glass unit ensures excellent resistance to water and stress along the edges of the unit. The range maintains superior protection for primary sealing due to its excellent mechanical performance, high tensile strength, and good springback. The HOTVER range of sealants is designed to perform as a gas barrier (low vapor and gas diffusion) and moisture barrier (resistance to water in liquid or gaseous form), and also to provide chemical fogging resistance and structural bonding of the total unit. These features contribute to achieving long-term durability of the insulating glass unit and high thermal performance by maintaining the seal and keeping gases at optimum levels, thus extending the lifetime of windows and providing more comfortable indoor temperatures.",The International EPD® System,,https://www.environdec.com/library/epd13058,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:28:31.810165,
21,1818428660831621120,3c00ba78-5ae9-479f-bbd6-f921d60ece26,石灰石骨料（0/4 毫米），石灰石骨料（混合类型）（UN CPC 15200，UN CPC 15320）,"Limestone Aggregates (0/4mm), Limestone Aggregates (Mixed Types) (UN CPC 15200, UN CPC 15320)",tn,2024-04-05,2024-04-05,2029-04-04,Worldwide,,"Description: The product types are limestone aggregates manufactured by INTERBETON S.A. at the Zoforoi (Crete) site in Greece. In 2022, approximately 1 million tons of aggregates were produced. These aggregates are intended for use in applications such as asphalt, concrete, and filling material in civil engineering. They are produced in various fractions, ranging from blasted rock to finely crushed 0/4 mm sand. Ten types of aggregates are covered in this declaration, including eight main types and two mixed types. The parent rock is limestone composed entirely of calcite (CaCO3). Physical-mechanical properties include a mean compressive strength of 73.7 MPa, a Los Angeles Coefficient of 25 (depending on aggregate size), and a particle density on a saturated and oven-dried basis of 2.71 Mg/m³.",The International EPD® System,,https://www.environdec.com/library/epd13070,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:29:12.170003,
22,1818428786123870208,471d4c48-1d96-4b07-afc0-aebfda5bb6f5,Antistain Aqua 520001 ts1562 awhite (520001),ANTISTAIN AQUA 520001 TS1562 AWHITE (520001),kg,2024-07-04,2024-07-04,2029-07-04,Europe,,"Description: ANTISTAIN AQUA 5200-01 is a water-borne industrial primer for new wood designated for exterior use such as windows and doors. It is typically applied on softwood that has been pre-treated with a Wood Preservative. This primer minimizes yellowing from knots and softwood with a large amount of heartwood. It can be applied by flow coat or dipping at temperatures between 15°C and 40°C, and humidity levels below 80% RH. The surface temperature must be at least 3°C above the dew point to prevent moisture condensation during the curing process, and the surface to be coated must be clean, dry, and free from dust and grease.",The International EPD® System,,https://www.environdec.com/library/epd15182,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:29:42.042577,
23,1818429038503530496,f453ce49-8d44-4e0f-97c5-df7962fb489c,BUTYLVER TPS（Fenzi）,BUTYLVER TPS(Fenzi),kg,2024-07-25,2024-07-25,2029-07-25,,,"Description: BUTYLVER TPS products are one-part thermoplastic, solvent-free polyisobutylene based spacers specifically formulated for manufacturing insulating glass, fire-rated glass, and indoor partitions. When the desiccant is incorporated, it replaces the hollow spacer, primary seal, and molecular sieves. If fire-resistant properties are required, flame retardants replace the desiccant. As a warm edge high-tech Fenzi product, BUTYLVER TPS provides low thermal conductivity and the highest levels of gas and water vapor barrier, including excellent reproducibility and optimization of production costs. BUTYLVER TPS is developed to work in synergy with all automatic applicators and to obtain an insulating glass unit with high-quality performance, aesthetic harmony, and durability over time. BUTYLVER TPS guarantees fast, stable, and consistent adhesion to the glass immediately after application. It is an essential product to guarantee an impenetrable gas and humidity barrier, high mechanical stability, and excellent PSI value. Among its many benefits, BUTYLVER TPS allows millimetric accuracy in insulating glass edge production, fast wetting to the glass and fast build of adhesion, stable quality for the highest level of reproducibility in IG production, low density and optimal material consumption per linear meter, and the best aesthetic results, including in triple glazing.",The International EPD® System,,https://www.environdec.com/library/epd13057,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:30:42.214144,
24,1818429217843580928,05b11907-b23e-4012-a7c1-f2921ad21884,Getacore（丙烯酸粘合固体表面板材材料）,Getacore(Acrylicbonded solid surface sheet material),m²,2021-04-08,2021-04-08,2026-04-02,Germany,,"Description: Getacore is an acrylic-bound solid surface that stands out due to the material’s exceptional dimensional stability. It is durable, thermoformable, easy to clean and repair, non-porous, and can be joined seamlessly. Processing is straightforward. The product is known for its superior color consistency, achieved through its Made-in-Germany production process. Getacore comes in various thicknesses, widths, and lengths, along with a wide range of colors to suit specific projects. The product is suitable for commercial, retail, residential, and hospitality sectors. Interior applications include kitchen and bathroom countertops, shower trays, reception and check-in counters, decorative wall surfaces, and horizontal and vertical cladding on furnishings.",The International EPD® System,,https://www.environdec.com/library/epd3470,,EPD,3,4,,,,吴宇森,,,,2024-07-30 16:31:24.972712,
